drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA448004","abacavir","441300","DB01048","D00891",""
"PA166153471","abemaciclib","46220502","DB12001","D10688",""
"PA452632","acenocoumarol","54676537","DB01418","D07064",""
"PA448015","acetaminophen","1983","DB00316","D00217",""
"PA166184061","acetaminophen / codeine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166184496","acetaminophen / tramadol","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA165981154","afatinib","10184653","DB08916","D09724",""
"PA166122586","afutuzumab","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166160050","alectinib","49806720","DB11363","D10450",""
"PA166159961","alirocumab","","","D10335","PubChem not found; DrugBank not found"
"PA143487910","aliskiren","5493444","DB09026","D03208",""
"PA448320","allopurinol","135401907","DB00437","D00224",""
"PA166184523","alpelisib","56649450","DB12015","D11011",""
"PA166185150","amifampridine","5918","DB11640","D10228",""
"PA166182002","amifampridine phosphate","","","D10689","PubChem not found; DrugBank not found"
"PA448385","amitriptyline","2160","DB00321","D00809",""
"PA166183785","amlodipine / atorvastatin / perindopril arginine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA448405","amoxapine","2170","DB00543","D00228",""
"PA448408","amphetamine","3007","DB00182","D01570",""
"PA448432","anastrozole","2187","DB01217","D00960",""
"PA452200","antithrombotic agents","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA164743977","arformoterol","3083544","DB01274","D02981",""
"PA166161216","aripiprazole lauroxil","","","D10364","PubChem not found; DrugBank not found"
"PA448486","arsenic trioxide","","","D02106","PubChem not found; DrugBank not found"
"PA166182783","articaine / epinephrine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA448497","aspirin","2244","DB00945","D00109",""
"PA10251","atazanavir","148192","DB01072","D01276",""
"PA166129523","atezolizumab","","","D10773","PubChem not found; DrugBank not found"
"PA134688071","atomoxetine","54841","DB00289","D02574",""
"PA448500","atorvastatin","60823","DB01076","D00887",""
"PA166179849","avatrombopag","9852519","DB11995","D10306",""
"PA166169875","avelumab","","","D10817","PubChem not found; DrugBank not found"
"PA164924493","axitinib","6450551","DB06626","D03218",""
"PA448515","azathioprine","2265","DB00993","D00238",""
"PA166114904","belimumab","","","D03068","PubChem not found; DrugBank not found"
"PA165971474","belinostat","6918638","DB05015","D08870",""
"PA166179867","binimetinib","10288191","DB11967","D10604",""
"PA166184057","bisoprolol fumarate / perindopril arginine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166129524","blinatumomab","","","D09325","PubChem not found; DrugBank not found"
"PA165948902","boceprevir","10324367","DB08873","D08876",""
"PA166114906","bosutinib","5328940","DB06616","D03252",""
"PA165948903","brentuximab vedotin","","","D09587","PubChem not found; DrugBank not found"
"PA166160053","brexpiprazole","11978813","DB09128","D10309",""
"PA166163482","brigatinib","68165256","DB12267","D10866",""
"PA166153491","brivaracetam","9837243","DB05541","D08879",""
"PA448691","busulfan","2478","DB01008","D00248",""
"PA165958401","cabazitaxel","9854073","DB06772","D09755",""
"PA165906891","cabozantinib","25102847","DB08875","D10062",""
"PA448771","capecitabine","60953","DB01101","D01223",""
